0,1,2,3,4
Film,U.S. release date,Director(s),Screenwriter(s),Producer(s)
Phase One[2],,,,
Iron Man,,,,
The Incredible Hulk,,,,
Iron Man 2,,,,
Thor,,,,
Captain America: The First Avenger,,,,
Marvel's The Avengers,,,,
Phase Two[2],,,,
Iron Man 3,,,,
Thor: The Dark World,,,,
Captain America: The Winter Soldier,,,,
Guardians of the Galaxy,,,,
Avengers: Age of Ultron,,,,
Ant-Man,,,,
Phase Three[2],,,,
Captain America: Civil War,,,,
Doctor Strange,,,,
Guardians of the Galaxy Vol. 2,,,,
Spider-Man: Homecoming,,,,
Thor: Ragnarok,,,,
Black Panther,,,,
Avengers: Infinity War,,,,
Ant-Man and the Wasp,,,,
Captain Marvel,,,,
Avengers: Endgame,,,,
Spider-Man: Far From Home,,,,
